 ,Label,Area,Mean,StdDev,Min,Max,Perim.,Major,Minor,Angle,Circ.,IntDen,Skew,RawIntDen,Ch,Slice,AR,Round,Solidity,Length
24,Ecadgfp_vasa_nospacer_3.nd2:0122-0768-0477:c:2/3 z:41/64 - Ecadgfp_vasa_nospacer_3.nd2 (series 1),0.185,1525.831,248.788,1143.497,1862.500,1.103,0,0,0,1.000,282.040,0,10680.814,2,41,0.000,0.000,NaN,1.103
25,Ecadgfp_vasa_nospacer_4.nd2:0050-0643-0474:c:2/3 z:17/82 - Ecadgfp_vasa_nospacer_4.nd2 (series 1),1.769,1447.710,186.002,1112.913,2057.354,10.942,0,0,0,0.186,2561.316,0,96996.573,2,17,0.000,0.000,NaN,10.942
26,Ecadgfp_vasa_nospacer_4.nd2:0050-0626-0497:c:2/3 z:17/82 - Ecadgfp_vasa_nospacer_4.nd2 (series 1),1.611,1293.158,153.844,1006.064,1640.584,10.038,0,0,0,0.201,2082.994,0,78882.609,2,17,0.000,0.000,NaN,10.038
27,Ecadgfp_vasa_nospacer_4.nd2:0050-0681-0644:c:2/3 z:17/82 - Ecadgfp_vasa_nospacer_4.nd2 (series 1),0.396,2306.372,154.091,2002.000,2614.000,2.451,0,0,0,0.829,913.540,0,34595.583,2,17,0.000,0.000,NaN,2.451
28,Ecadgfp_vasa_nospacer_4.nd2:0050-0644-0541:c:2/3 z:17/82 - Ecadgfp_vasa_nospacer_4.nd2 (series 1),1.796,1315.494,163.199,1081.059,1767.880,10.851,0,0,0,0.192,2362.135,0,89453.624,2,17,0.000,0.000,NaN,10.851
29,Ecadgfp_vasa_nospacer_4.nd2:0050-0584-0556:c:2/3 z:17/82 - Ecadgfp_vasa_nospacer_4.nd2 (series 1),1.083,1184.610,246.520,771.380,1868.120,6.655,0,0,0,0.307,1282.526,0,48569.016,2,17,0.000,0.000,NaN,6.655
30,Ecadgfp_vasa_nospacer_4.nd2:0050-0685-0651:c:2/3 z:17/82 - Ecadgfp_vasa_nospacer_4.nd2 (series 1),0.898,2287.426,226.378,1803.371,2891.200,5.373,0,0,0,0.391,2053.680,0,77772.501,2,17,0.000,0.000,NaN,5.373
31,Ecadgfp_vasa_nospacer_4.nd2:0038-0611-0598:c:2/3 z:13/82 - Ecadgfp_vasa_nospacer_4.nd2 (series 1),1.373,1236.068,128.533,980.420,1539.165,8.400,0,0,0,0.245,1697.276,0,64275.529,2,13,0.000,0.000,NaN,8.400
32,Ecadgfp_vasa_nospacer_4.nd2:0038-0573-0579:c:2/3 z:13/82 - Ecadgfp_vasa_nospacer_4.nd2 (series 1),0.528,1412.509,169.535,1165.312,1726.137,3.232,0,0,0,0.635,745.982,0,28250.190,2,13,0.000,0.000,NaN,3.232
33,Ecadgfp_vasa_nospacer_4.nd2:0038-0627-0659:c:2/3 z:13/82 - Ecadgfp_vasa_nospacer_4.nd2 (series 1),0.290,2222.433,311.915,1623.335,2510.331,1.769,0,0,0,1.000,645.547,0,24446.768,2,13,0.000,0.000,NaN,1.769
34,Ecadgfp_vasa_nospacer_4.nd2:0080-0725-0504:c:2/3 z:27/82 - Ecadgfp_vasa_nospacer_4.nd2 (series 1),0.951,1309.040,144.347,1054.368,1609.675,5.935,0,0,0,0.339,1244.406,0,47125.441,2,27,0.000,0.000,NaN,5.935
35,Ecadgfp_vasa_nospacer_4.nd2:0080-0671-0499:c:2/3 z:27/82 - Ecadgfp_vasa_nospacer_4.nd2 (series 1),0.871,990.175,93.425,839.147,1157.948,5.218,0,0,0,0.402,862.845,0,32675.777,2,27,0.000,0.000,NaN,5.218
36,Ecadgfp_vasa_nospacer_4.nd2:0080-0596-0668:c:2/3 z:27/82 - Ecadgfp_vasa_nospacer_4.nd2 (series 1),0.660,2025.585,249.242,1584.780,2547.455,4.024,0,0,0,0.512,1337.202,0,50639.620,2,27,0.000,0.000,NaN,4.024
37,Ecadgfp_vasa_nospacer_5.nd2:0059-0650-0480:c:2/3 z:20/52 - Ecadgfp_vasa_nospacer_5.nd2 (series 1),0.871,925.487,62.349,799.335,1026.214,5.319,0,0,0,0.387,806.475,0,30541.078,2,20,0.000,0.000,NaN,5.319
38,Ecadgfp_vasa_nospacer_5.nd2:0059-0574-0422:c:2/3 z:20/52 - Ecadgfp_vasa_nospacer_5.nd2 (series 1),1.558,885.458,80.488,702.333,1038.393,9.466,0,0,0,0.219,1379.515,0,52241.998,2,20,0.000,0.000,NaN,9.466
39,Ecadgfp_vasa_nospacer_5.nd2:0059-0553-0480:c:2/3 z:20/52 - Ecadgfp_vasa_nospacer_5.nd2 (series 1),0.713,1821.374,459.554,1309.100,3019.845,4.380,0,0,0,0.467,1298.583,0,49177.105,2,20,0.000,0.000,NaN,4.380
40,Ecadgfp_vasa_nospacer_5.nd2:0032-0705-0498:c:2/3 z:11/52 - Ecadgfp_vasa_nospacer_5.nd2 (series 1),1.320,1202.217,247.301,886.242,1943.440,8.132,0,0,0,0.251,1587.302,0,60110.840,2,11,0.000,0.000,NaN,8.132
41,Ecadgfp_vasa_nospacer_5.nd2:0032-0666-0572:c:2/3 z:11/52 - Ecadgfp_vasa_nospacer_5.nd2 (series 1),1.532,1223.133,144.659,981.914,1629.750,9.409,0,0,0,0.217,1873.304,0,70941.709,2,11,0.000,0.000,NaN,9.409
42,Ecadgfp_vasa_nospacer_5.nd2:0032-0615-0614:c:2/3 z:11/52 - Ecadgfp_vasa_nospacer_5.nd2 (series 1),0.819,1619.908,280.721,1231.500,2197.106,5.023,0,0,0,0.408,1326.047,0,50217.154,2,11,0.000,0.000,NaN,5.023
43,Ecadgfp_vasa_nospacer_5.nd2:0086-0720-0495:c:2/3 z:29/52 - Ecadgfp_vasa_nospacer_5.nd2 (series 1),1.690,744.039,56.550,623.151,849.690,10.394,0,0,0,0.197,1257.425,0,47618.474,2,29,0.000,0.000,NaN,10.394
44,Ecadgfp_vasa_nospacer_5.nd2:0086-0769-0466:c:2/3 z:29/52 - Ecadgfp_vasa_nospacer_5.nd2 (series 1),1.056,620.056,50.536,542.263,752.975,6.562,0,0,0,0.308,654.934,0,24802.246,2,29,0.000,0.000,NaN,6.562
45,Ecadgfp_vasa_nospacer_5.nd2:0086-0562-0467:c:2/3 z:29/52 - Ecadgfp_vasa_nospacer_5.nd2 (series 1),1.162,1602.010,375.734,1265.652,2996.046,7.105,0,0,0,0.289,1861.336,0,70488.457,2,29,0.000,0.000,NaN,7.105
46,Ecadgfp_vasa_nospacer_5.nd2:0086-0619-0320:c:2/3 z:29/52 - Ecadgfp_vasa_nospacer_5.nd2 (series 1),0.871,719.405,81.851,594.619,898.040,5.276,0,0,0,0.393,626.894,0,23740.352,2,29,0.000,0.000,NaN,5.276
47,Ecadgfp_vasa_nospacer_5.nd2:0086-0561-0326:c:2/3 z:29/52 - Ecadgfp_vasa_nospacer_5.nd2 (series 1),1.452,713.381,53.026,588.000,824.983,8.810,0,0,0,0.235,1036.075,0,39235.964,2,29,0.000,0.000,NaN,8.810
48,Ecadgfp_vasa_nospacer_5.nd2:0086-0486-0444:c:2/3 z:29/52 - Ecadgfp_vasa_nospacer_5.nd2 (series 1),0.924,1536.291,212.472,1038.235,1861.457,5.729,0,0,0,0.354,1419.869,0,53770.182,2,29,0.000,0.000,NaN,5.729
