 ,Label,Area,Mean,StdDev,Min,Max,Perim.,Major,Minor,Angle,Circ.,IntDen,Skew,RawIntDen,Ch,Slice,AR,Round,Solidity,Length
1,Ecadgfp_vasa_nospacer_1.nd2:0068-0551-0222:c:2/3 z:23/61 - Ecadgfp_vasa_nospacer_1.nd2 (series 1),1.875,630.653,78.649,490.323,768.583,11.539,0,0,0,0.177,1182.377,0,44776.390,2,23,0.000,0.000,NaN,11.539
2,Ecadgfp_vasa_nospacer_1.nd2:0068-0523-0233:c:2/3 z:23/61 - Ecadgfp_vasa_nospacer_1.nd2 (series 1),0.819,687.609,63.468,576.912,871.240,4.926,0,0,0,0.424,562.872,0,21315.877,2,23,0.000,0.000,NaN,4.926
3,Ecadgfp_vasa_nospacer_1.nd2:0068-0592-0373:c:2/3 z:23/61 - Ecadgfp_vasa_nospacer_1.nd2 (series 1),0.370,1037.808,227.949,739.806,1458.673,2.216,0,0,0,0.946,383.664,0,14529.306,2,23,0.000,0.000,NaN,2.216
4,Ecadgfp_vasa_nospacer_1.nd2:0107-0577-0215:c:2/3 z:36/61 - Ecadgfp_vasa_nospacer_1.nd2 (series 1),1.426,534.223,43.675,449.000,631.004,8.757,0,0,0,0.234,761.769,0,28848.065,2,36,0.000,0.000,NaN,8.757
5,Ecadgfp_vasa_nospacer_1.nd2:0107-0548-0221:c:2/3 z:36/61 - Ecadgfp_vasa_nospacer_1.nd2 (series 1),0.951,513.946,35.148,450.514,587.500,5.775,0,0,0,0.358,488.570,0,18502.048,2,36,0.000,0.000,NaN,5.775
6,Ecadgfp_vasa_nospacer_1.nd2:0107-0538-0286:c:2/3 z:36/61 - Ecadgfp_vasa_nospacer_1.nd2 (series 1),0.317,930.683,99.012,807.203,1076.000,1.875,0,0,0,1.000,294.910,0,11168.199,2,36,0.000,0.000,NaN,1.875
7,Ecadgfp_vasa_nospacer_1.nd2:0056-0451-0207:c:2/3 z:19/61 - Ecadgfp_vasa_nospacer_1.nd2 (series 1),1.241,628.489,82.994,502.592,763.834,7.634,0,0,0,0.268,780.014,0,29538.983,2,19,0.000,0.000,NaN,7.634
8,Ecadgfp_vasa_nospacer_1.nd2:0056-0429-0247:c:2/3 z:19/61 - Ecadgfp_vasa_nospacer_1.nd2 (series 1),1.003,674.524,94.970,534.465,926.833,6.206,0,0,0,0.327,676.843,0,25631.913,2,19,0.000,0.000,NaN,6.206
9,Ecadgfp_vasa_nospacer_1.nd2:0056-0480-0315:c:2/3 z:19/61 - Ecadgfp_vasa_nospacer_1.nd2 (series 1),0.819,888.611,126.795,675.062,1075.310,5.063,0,0,0,0.401,727.412,0,27546.953,2,19,0.000,0.000,NaN,5.063
10,Ecadgfp_vasa_nospacer_2.nd2:0044-0558-0688:c:2/3 z:15/60 - Ecadgfp_vasa_nospacer_2.nd2 (series 1),2.113,495.090,47.680,395.263,638.150,13.161,0,0,0,0.153,1045.878,0,39607.200,2,15,0.000,0.000,NaN,13.161
11,Ecadgfp_vasa_nospacer_2.nd2:0044-0545-0651:c:2/3 z:15/60 - Ecadgfp_vasa_nospacer_2.nd2 (series 1),1.241,433.422,38.711,370.800,556.530,7.649,0,0,0,0.267,537.917,0,20370.812,2,15,0.000,0.000,NaN,7.649
12,Ecadgfp_vasa_nospacer_2.nd2:0044-0374-0535:c:2/3 z:15/60 - Ecadgfp_vasa_nospacer_2.nd2 (series 1),0.317,835.987,83.683,730.145,1020.237,1.929,0,0,0,1.000,264.903,0,10031.846,2,15,0.000,0.000,NaN,1.929
13,Ecadgfp_vasa_nospacer_2.nd2:0017-0689-0529:c:2/3 z:6/60 - Ecadgfp_vasa_nospacer_2.nd2 (series 1),1.135,596.942,58.489,487.666,728.392,6.992,0,0,0,0.292,677.809,0,25668.513,2,6,0.000,0.000,NaN,6.992
14,Ecadgfp_vasa_nospacer_2.nd2:0017-0667-0508:c:2/3 z:6/60 - Ecadgfp_vasa_nospacer_2.nd2 (series 1),0.898,522.844,55.361,423.889,619.400,5.472,0,0,0,0.377,469.416,0,17776.699,2,6,0.000,0.000,NaN,5.472
15,Ecadgfp_vasa_nospacer_2.nd2:0041-0384-0568:c:2/3 z:14/60 - Ecadgfp_vasa_nospacer_2.nd2 (series 1),0.475,862.940,110.695,735.500,1058.040,2.876,0,0,0,0.722,410.166,0,15532.925,2,14,0.000,0.000,NaN,2.876
16,Ecadgfp_vasa_nospacer_3.nd2:0017-0590-0652:c:2/3 z:6/64 - Ecadgfp_vasa_nospacer_3.nd2 (series 1),1.347,978.529,86.907,765.490,1184.527,8.181,0,0,0,0.253,1317.803,0,49904.968,2,6,0.000,0.000,NaN,8.181
17,Ecadgfp_vasa_nospacer_3.nd2:0017-0555-0624:c:2/3 z:6/64 - Ecadgfp_vasa_nospacer_3.nd2 (series 1),0.792,841.323,61.264,738.348,984.389,4.779,0,0,0,0.436,666.486,0,25239.700,2,6,0.000,0.000,NaN,4.779
18,Ecadgfp_vasa_nospacer_3.nd2:0017-0653-0602:c:2/3 z:6/64 - Ecadgfp_vasa_nospacer_3.nd2 (series 1),0.924,1286.052,142.415,1088.544,1572.095,5.593,0,0,0,0.371,1188.594,0,45011.833,2,6,0.000,0.000,NaN,5.593
19,Ecadgfp_vasa_nospacer_3.nd2:0119-0785-0556:c:2/3 z:40/64 - Ecadgfp_vasa_nospacer_3.nd2 (series 1),1.241,523.857,35.324,455.440,605.550,7.569,0,0,0,0.272,650.156,0,24621.279,2,40,0.000,0.000,NaN,7.569
20,Ecadgfp_vasa_nospacer_3.nd2:0119-0774-0523:c:2/3 z:40/64 - Ecadgfp_vasa_nospacer_3.nd2 (series 1),1.109,578.573,32.435,520.665,652.845,6.851,0,0,0,0.297,641.674,0,24300.077,2,40,0.000,0.000,NaN,6.851
21,Ecadgfp_vasa_nospacer_3.nd2:0119-0769-0476:c:2/3 z:40/64 - Ecadgfp_vasa_nospacer_3.nd2 (series 1),0.396,1217.716,93.014,1076.630,1411.194,2.443,0,0,0,0.834,482.330,0,18265.735,2,40,0.000,0.000,NaN,2.443
22,Ecadgfp_vasa_nospacer_3.nd2:0122-0788-0550:c:2/3 z:41/64 - Ecadgfp_vasa_nospacer_3.nd2 (series 1),1.268,514.128,29.106,430.068,570.240,7.843,0,0,0,0.259,651.657,0,24678.145,2,41,0.000,0.000,NaN,7.843
23,Ecadgfp_vasa_nospacer_3.nd2:0122-0800-0505:c:2/3 z:41/64 - Ecadgfp_vasa_nospacer_3.nd2 (series 1),1.479,595.067,48.791,527.333,703.553,9.003,0,0,0,0.229,879.956,0,33323.775,2,41,0.000,0.000,NaN,9.003
